Position,Business Title,Location,Description,Asking Price,Cash Flow,Revenue,Listing URL,Image URL,P/E Ratio,Website
98,Profitable Online Dropshipping Website Work From Home Business,"Toronto, Ontario, Canada",,199,50000,100000,https://canada.businessesforsale.com/canadian/profitable-online-dropshipping-website-work-from-home-business.aspx,https://canada.businessesforsale.com/uploadsstatic/a3397749mediumthumbnail.jpg?aElFjpOi9UavFV0b+Mo1DA==,0,businessesforsale.com
99,Johnny Greeko's - Greek Restaurant Franchise in London,"London, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/johnny-greekos-franchise?location=London,https://canada.businessesforsale.com/canadian/franchises/images/franchise8429/browselogobig.jpg,,businessesforsale.com
100,Online Auction House,"Toronto Ontario, Canada",This is a well-established online auction house that has been operating successfully for over 20 years. It provides a platform and an open market place to buy and sell a wide range of items such as... More details Ā»,1540000,510262,1541000,https://canada.businessesforsale.com/canadian/online-auction-house.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742007mediumthumbnail.jpg?DIVaHWlZ7A3X57pUTq0wow==,3,businessesforsale.com
101,Thriving EWYN Weight Loss Studio Franchise In Hamilton,"Hamilton, Ontario, Canada",,175000,,,https://canada.businessesforsale.com/canadian/thriving-ewyn-weight-loss-studio-franchise-in-hamilton.aspx,https://canada.businessesforsale.com/uploadsstatic/a3739988mediumthumbnail.jpg?Z6j7qrGLyB5s8ZSIAvDwwQ==,,businessesforsale.com
102,Lava Grill Franchise in Barrie,"Barrie, Ontario",,30000,,450000,https://canada.businessesforsale.com/canadian/franchises/opportunities/lava-grill-franchise?location=Barrie,https://canada.businessesforsale.com/canadian/franchises/images/franchise8031/browselogobig.jpg,,businessesforsale.com
103,Great Canadian Online Hobby Store,"Toronto Ontario, Canada",Owner has curated and grown the business since 2009 carving out a niche area focused on radio controlled vehicles for discerning hobbyists that are price & quality conscious. Sales 75-80% Canadian;... More details Ā»,215000,71000,200000,https://canada.businessesforsale.com/canadian/great-canadian-online-hobby-store.aspx,https://canada.businessesforsale.com/uploadsstatic/a3741055mediumthumbnail.jpg?NS06kVh/w7OIQp2kWWFEYw==,3,businessesforsale.com
104,Popular And Profitable Middle Eastern Food Outlet,"Toronto, Ontario, Canada","A very popular Middle Eastern food outlet in an upscale market area. This alternative fastfood has been very successful over the years, primarily due to its quality of food and variety of dishes. It... More details Ā»",430000,235980,626818,https://canada.businessesforsale.com/canadian/popular-and-profitable-middle-eastern-food-outlet.aspx,https://canada.businessesforsale.com/uploadsstatic/a3741054mediumthumbnail.jpg?H0NTH20qLY4SFF0Y0oNP+A==,1.8,businessesforsale.com
105,Gabriel Pizza Franchise in Peterborough,"Peterborough, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/gabriel-pizza-franchise?location=Peterborough,https://canada.businessesforsale.com/canadian/franchises/images/franchise8468/browselogobig.jpg,,businessesforsale.com
106,Premier Burger Franchise In Toronto,"Toronto, Ontario, Canada",,650000,,,https://canada.businessesforsale.com/canadian/premier-burger-franchise-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3741038mediumthumbnail.jpg?rwSL5k8ZMGdu6AprUTIlyg==,,businessesforsale.com
107,Profitable Online Flower Business In Greater Toronto Area,"Toronto Ontario, Canada",,15000,75000,31000,https://canada.businessesforsale.com/canadian/profitable-online-flower-business-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3404758mediumthumbnail.jpg?6vNkv6V3vD3Z+Z2XKPpizw==,0.2,businessesforsale.com
108,Fully Promoted - Promotional Marketing Franchise in Ontario,"Ontario, Ontario",,,,160000,https://canada.businessesforsale.com/canadian/franchises/opportunities/fully-promoted-canada?location=Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8417/browselogobig.jpg,,businessesforsale.com
109,International STEM Territory License In Markham,"Markham, Ontario, Canada",IDEA LABS KIDS - Award. Winning Kids STEAM. Educational Franchise: Exclusive LICENSE for West Markham Territory. Overview: Take an active role in developing and growing our future generations! This... More details Ā»,45000,,,https://canada.businessesforsale.com/canadian/international-stem-territory-license-in-markham.aspx,https://canada.businessesforsale.com/uploadsstatic/a3703831mediumthumbnail.jpg?E8q1PQzF0eNT+lVDMf/+Uw==,,businessesforsale.com
110,Unique Business Opportunity In Retail Sector With Multiple Revenue Streams In Hamilton-Niagara,"Hamilton-Niagara, Ontario, Canada","A well-established, multifaceted retail business, boasting a 26-year history of consistent growth and customer loyalty. Located within a thriving seasonal community, this business offers a unique... More details Ā»",1100000,450000,3451000,https://canada.businessesforsale.com/canadian/unique-business-opportunity-in-retail-sector-with-multiple-revenue-streams-in-hamilton-niagara.aspx,https://canada.businessesforsale.com/uploadsstatic/a3738425mediumthumbnail.jpg?NjxLtTd/08q8N6dBqfsICQ==,2.4,businessesforsale.com
111,Waffle To Go - Prime Mall Location Franchise in Brantford,"Brantford, Ontario",,20000,100000,300000,https://canada.businessesforsale.com/canadian/franchises/opportunities/waffle-to-go-franchise?location=Brantford,https://canada.businessesforsale.com/canadian/franchises/images/franchise8433/browselogobig.jpg,0.2,businessesforsale.com
112,Well-Established Machine Shop In Mississauga,"Mississauga, Ontario, Canada",,,,,https://canada.businessesforsale.com/canadian/well-established-machine-shop-in-mississauga.aspx,https://canada.businessesforsale.com/uploadsstatic/a3738031mediumthumbnail.jpg?swNIYt/9bLu5ylMXMIhviQ==,,businessesforsale.com
113,High-margin Specialized Chemical Formula Company In Ontario,"Ontario, Canada",,,9210721,19372352,https://canada.businessesforsale.com/canadian/high-margin-specialized-chemical-formula-company-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3735135mediumthumbnail.jpg?mfiVqDR6JYRh27XcUUcHDw==,0,businessesforsale.com
114,Senior Helpers - Care Franchise in Brantford,"Brantford, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Brantford,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,,businessesforsale.com
115,Profitable Busy Garage In Washington,"Washington, Ontario, Canada",,2495000,,400000,https://canada.businessesforsale.com/canadian/profitable-busy-garage-in-washington.aspx,https://canada.businessesforsale.com/uploadsstatic/a3695568mediumthumbnail.jpg?9gjIQapxcsv+UUmUrrxRvQ==,,businessesforsale.com
116,Profitable Established Landscaping/Construction Company In Vaughan,"Vaughan, Ontario, Canada",,2250000,,,https://canada.businessesforsale.com/canadian/profitable-established-landscaping-construction-company-in-vaughan.aspx,https://canada.businessesforsale.com/uploadsstatic/a3553115mediumthumbnail.jpg?ax9gyWjsMXEPk4g2rf3KGQ==,,businessesforsale.com
117,"OPA! Greek Food Franchise in Mississauga, ON","Mississauga, Ontario",,25000,200000,552500,https://canada.businessesforsale.com/canadian/franchises/opportunities/opa-greek-food-franchise?location=Mississauga%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise7372/browselogobig.jpg,0.1,businessesforsale.com
118,Established Med And Laser Spa In Caledon,"Caledon, Ontario, Canada",,375000,375000,375000,https://canada.businessesforsale.com/canadian/established-med-and-laser-spa-in-caledon.aspx,https://canada.businessesforsale.com/uploadsstatic/a3733656mediumthumbnail.jpg?v5ocSpBmvRhyEonfj6iPZQ==,1,businessesforsale.com
119,Seasonal Vacation Resort Property In Ontario,"Ontario, Canada",,1590000,,,https://canada.businessesforsale.com/canadian/seasonal-vacation-resort-property-in-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3728241mediumthumbnail.jpg?/CN5UvRbdVhQ6b/8P8oaRw==,,businessesforsale.com
120,"Handyman Connection Canadian Home Services Franchise in Niagara, Ontario","Niagara, Ontario, Ontario",,65000,35000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/handyman-connection-services-franchise?location=Niagara%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8385/browselogobig.jpg,1.9,businessesforsale.com
121,A Premier Dog Training And Breeding Venture,"Canada, Ontario, Canada","Discover an unparalleled opportunity with this esteemed dog training and breeding business based in Ottawa. Ideal for veterinary clinics or dog boarding facilities looking to expand, this venture... More details Ā»",310000,87000,403000,https://canada.businessesforsale.com/canadian/a-premier-dog-training-and-breeding-venture-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3725232mediumthumbnail.jpg?HzVzEoks7RRCSJEd2KpYig==,3.6,businessesforsale.com
122,Spacious Dog Kennel In Milton,"Milton, Ontario, Canada",The facility was established in 2009 many changes have been made to the company. Rebranded and fully renovated as of fall 2023. Rare opportunity! Licensing and permits approved with business. If you... More details Ā»,175000,,,https://canada.businessesforsale.com/canadian/spacious-dog-kennel-in-milton.aspx,https://canada.businessesforsale.com/uploadsstatic/a3703940mediumthumbnail.jpg?Cm7U0+ju9iOqQnkAz8k8gQ==,,businessesforsale.com
123,Fresh Burger Franchise in Ajax,"Ajax, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/fresh-burger-franchise?location=Ajax,https://canada.businessesforsale.com/canadian/franchises/images/franchise8036/browselogobig.jpg,,businessesforsale.com
124,Established Catering & Cafˇ Business ā National Capital Region,"Ottawa, Ontario, Canada","A highly successful and well-established catering and cafĆ business is now available for sale, with a proven track record of growth and profitability. Operating since 2014, this business has seen... More details Ā»",450000,162000,2030000,https://canada.businessesforsale.com/canadian/established-catering-and-cafe-business-national-capital-region-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3714102mediumthumbnail.jpg?SukvR4AGXJhrF2FDllmfWw==,2.8,businessesforsale.com
125,Profitable Music School With Real Estate In Canada,"Richmond Hill, Ontario, Canada",,2450000,175000,500000,https://canada.businessesforsale.com/canadian/profitable-music-school-with-real-estate-in-canada.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,14,businessesforsale.com
126,"barBURRITO in Huntsville, Ontario","Huntsville, Ontario, Ontario",,25000,145000,405000,https://canada.businessesforsale.com/canadian/franchises/opportunities/barburrito?location=Huntsville%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise7648/browselogobig.jpg,0.2,businessesforsale.com
127,Established Spa Franchise Opportunities In Toronto,"Toronto, Ontario, Canada",,200000,375000,,https://canada.businessesforsale.com/canadian/established-spa-franchise-opportunities-in-toronto.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,0.5,businessesforsale.com
128,Reduced Price - Exceptional Pizza Business Opportunity - Ottawa,"Canada, Ontario, Canada","Attention all aspiring restaurateurs and pizza connoisseurs! An exceptional opportunity awaits with the sale of this esteemed pizza establishment. Situated in a highly coveted location, this turnkey... More details Ā»",299000,159000,626000,https://canada.businessesforsale.com/canadian/reduced-price-exceptional-pizza-business-opportunity-ottawa-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3707606mediumthumbnail.jpg?YtgPRhoeeUlSfDaEaNTSGg==,1.9,businessesforsale.com
129,iOB Business Digital Agency Opportunity in Kitchener,"Kitchener, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/iob-business-opportunity-canada?location=Kitchener,https://canada.businessesforsale.com/canadian/franchises/images/franchise7841/browselogobig.jpg,,businessesforsale.com
130,Long-established Bicycle & Accessories Shop For Sale Serving Eastern Ontario Canada,"Ottawa, Ontario, Canada",Profitable and well-established cycling boutique in Eastern Ontario. The business is benefiting from the growing popularity of electric bikes and also enjoys strong loyalty and repeats business due to... More details Ā»,344000,152754,725483,https://canada.businessesforsale.com/canadian/long-established-bicycle-and-accessories-shop-for-sale-serving-eastern-ontario-canada.aspx,https://canada.businessesforsale.com/uploadsstatic/a3707605mediumthumbnail.jpg?Qf1LA2fMPvHOEFEgJkUMRg==,2.3,businessesforsale.com
131,Lucrative Small Grocery On Long Point Bay In Port Rowan,"Port Rowan, Ontario, Canada",,850000,,,https://canada.businessesforsale.com/canadian/lucrative-small-grocery-on-long-point-bay-in-port-rowan.aspx,https://canada.businessesforsale.com/uploadsstatic/a3707516mediumthumbnail.jpg?hPMF69PgBuTVVSHm3FgqRA==,,businessesforsale.com
132,Engino - Classroom Solutions Franchise in Toronto,"Toronto, Ontario",,35000,300000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/engino-classroom-solutions-franchise?location=Toronto,https://canada.businessesforsale.com/canadian/franchises/images/franchise8380/browselogobig.jpg,0.1,businessesforsale.com
133,Well-Known F45 Fitness Studio In Toronto,"Toronto, Ontario, Canada",,650000,175000,,https://canada.businessesforsale.com/canadian/well-known-f45-fitness-studio-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3558908mediumthumbnail.jpg?d0kDb6V4xrOBhs2OlrPg+A==,3.7,businessesforsale.com
134,Established and Profitable Career College In Ontario,"Ontario, Canada",,,,,https://canada.businessesforsale.com/canadian/established-and-profitable-career-college-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3703932mediumthumbnail.jpg?jx35lty/a+pceWHOWmUaNQ==,,businessesforsale.com
135,INS Market - Convenience Store Franchise in 34 Sudbury St.,"34 Sudbury St., Ontario",,30000,100000,135000,https://canada.businessesforsale.com/canadian/franchises/opportunities/ins-market-convenience-franchise?location=34%20Sudbury%20St.,https://canada.businessesforsale.com/canadian/franchises/images/franchise8394/browselogobig.jpg,0.3,businessesforsale.com
136,Established Glass Repair Business In London,"London, Ontario, Canada",,30000,75000,175000,https://canada.businessesforsale.com/canadian/established-glass-repair-business-in-london.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,0.4,businessesforsale.com
137,Profitable Children's STEM Camp Franchise In Halton,"Halton, Ontario, Canada",,25000,,,https://canada.businessesforsale.com/canadian/profitable-children-s-stem-camp-franchise-in-halton.aspx,https://canada.businessesforsale.com/uploadsstatic/a3699933mediumthumbnail.jpg?pEQhBYp1l9F1jrYyCdE8pg==,,businessesforsale.com
138,"Ideal Caregivers 4u Franchise in Barrie, Ontario","Barrie, Ontario, Ontario",,65000,,105000,https://canada.businessesforsale.com/canadian/franchises/opportunities/ideal-caregiveers-4u-franchise?location=Barrie%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8090/browselogobig.jpg,,businessesforsale.com
139,"Digital Billboards Media Company providing Passive Income, Ontario","Ontario, Canada",,2500000,,,https://canada.businessesforsale.com/canadian/digital-billboards-media-company-providing-passive-income-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3703357mediumthumbnail.jpg?cDHVoVg8chC3XhqSGgxJTg==,,businessesforsale.com
140,Waffle To Go - Prime Mall Location Franchise in Hamilton,"Hamilton, Ontario",,20000,100000,300000,https://canada.businessesforsale.com/canadian/franchises/opportunities/waffle-to-go-franchise?location=Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise8433/browselogobig.jpg,0.2,businessesforsale.com
141,Successful And Reputable Window & Door Company In Eastern Ontario,"Eastern Ontario, Ontario, Canada","Successful and reputable window and door company is available for immediate sale in Eastern Ontario. Specializing in the highest quality windows and doors sales and service, the companyā name is... More details Ā»",800000,217000,1993000,https://canada.businessesforsale.com/canadian/successful-and-reputable-window-and-door-company-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3462146mediumthumbnail.jpg?+XoDVT1zPZREMQumJQcfXQ==,3.7,businessesforsale.com
142,"Well Established, Legendary Full Service Family Restaurant In Ontario","Ontario, Canada",,1300000,400000,,https://canada.businessesforsale.com/canadian/well-established-legendary-full-service-family-restaurant-in-ontario.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png,3.3,businessesforsale.com
143,"The Chopped Leaf Healthy Restaurant Franchise in Hamilton, ON","Hamilton,Ontario Ontario",,30000,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/the-chopped-leaf-restaurant-franchise?location=Hamilton%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8034/browselogobig.jpg,,businessesforsale.com
144,Extremely Profitable Property Restoration Business In Southwestern Ontario,"Southwestern Ontario, Canada","Are you looking for a lucrative opportunity to own an established property restoration and construction company? Look no further! We are excited to present this profitable business, located in the... More details Ā»",1750000,390000,4400000,https://canada.businessesforsale.com/canadian/extremely-profitable-property-restoration-business-in-southwestern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3430052mediumthumbnail.jpg?VVwtshc5LGF7haOt7kKmIQ==,4.5,businessesforsale.com
145,Highly Reputable Auto & Equipment Parts Store For Sale In Eastern Ontario,"Eastern Ontario, Ontario, Canada","Established in 2003, this distinguished Auto & Equipment Parts Store is now available for acquisition in Eastern Ontario. This profitable enterprise caters to a broad spectrum of customers, including... More details Ā»",350000,83000,285000,https://canada.businessesforsale.com/canadian/highly-reputable-auto-and-equipment-parts-store-for-sale-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3417128mediumthumbnail.jpg?spEsqvCpLp6fQfqlWgDaEA==,4.2,businessesforsale.com
146,Senior Helpers - Care Franchise in Cambridge,"Cambridge, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Cambridge,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,,businessesforsale.com
147,Highly Profitable And Distinguished Roofing Contractor Business In Eastern Ontario,"Eastern Ontario, Canada","Highly Profitable Roofing Business in Eastern Ontario for Sale. Successful Roofing Contractor for Sale in Ontario. This business offers a variety of roofing services for residential, commercial, and... More details Ā»",5000000,1228000,4294000,https://canada.businessesforsale.com/canadian/highly-profitable-and-distinguished-roofing-contractor-business-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3408200mediumthumbnail.jpg?D5K5cJiTw0iDyCJ3C1VYtw==,4.1,businessesforsale.com
148,Profitable Full-Service Mobile Welding Business In Eastern Ontario,"Eastern Ontario, Canada",Profitable full-service mobile welding business for sale in Eastern Ontario Canada. Custom metal fabrication business for sale near Ottawa Ontario. The business comes with all the equipment needed to... More details Ā»,287000,127000,334000,https://canada.businessesforsale.com/canadian/profitable-full-service-mobile-welding-business-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3382915mediumthumbnail.jpg?bd9jn5isg82nZh06uvOesA==,2.3,businessesforsale.com
149,"Cinnzeo CafĆ ā Quality Bakery Franchise in London, ON","London,Ontario Ontario",,30000,150000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/cinnzeo-bakery-franchise?location=London%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise6957/browselogobig.jpg,0.2,businessesforsale.com
150,Highly Profitable Home Improvement Solutions Provider In Ottawa,"Ottawa, Ontario, Canada",UNDER CONTRACT - Custom storage solutions provider for sale in Eastern Ontario. This business designs and installs custom premium quality cabinets and closets and provides related services to organize... More details Ā»,450000,172515,841230,https://canada.businessesforsale.com/canadian/highly-profitable-home-improvement-solutions-provider-in-ottawa-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3328021mediumthumbnail.jpg?hhW/lBnPm4Euuyo1/36q6A==,2.6,businessesforsale.com
151,Become A Business Broker,"Ottawa, Ontario, Canada","Join the worlds #1 Business Brokering team. Enjoy a career filled with building connections that help clients buy and sell businesses to achieve their personal goals. As a business broker, you can use... More details Ā»",,,,https://canada.businessesforsale.com/canadian/become-a-business-broker-for-sale-33.aspx,https://canada.businessesforsale.com/uploadsstatic/a3173373mediumthumbnail.jpg?l0SgJIDF4tPbMUKDwB0lGQ==,,businessesforsale.com
152,"Handyman Connection Canadian Home Services Franchise in Mississauga, Ontario","Mississauga, Ontario",,65000,35000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/handyman-connection-services-franchise?location=Mississauga%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8385/browselogobig.jpg,1.9,businessesforsale.com
153,Become The Sunbelt Canada Franchise Owner,"Ottawa, Ontario, Canada","The Gatineau, Longueuil, Montreal South Shore, Barrie, London, Toronto North East, Oshawa/Whitby, Peterborough/Northumberland and areas Sunbelt Business Brokers area is for sale. If you have a strong... More details Ā»",,,,https://canada.businessesforsale.com/canadian/become-the-sunbelt-canada-franchise-owner-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3173367mediumthumbnail.jpg?QGcrgCsLmmjU9MlmJx+tZg==,,businessesforsale.com
154,Career College Franchise Opportunity In GTA,"Toronto Ontario, Canada",,325000,104000,244000,https://canada.businessesforsale.com/canadian/career-college-franchise-opportunity-in-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755296mediumthumbnail.jpg?MfpRCRME/EeHeqdqpHuX7Q==,3.1,businessesforsale.com
155,ChargeFuze On-the-go Smartphone Charging Solution Business Opportunity in Windsor,"Windsor, Ontario",,,,160000,https://canada.businessesforsale.com/canadian/franchises/opportunities/charge-fuze-charging-solution-business-opportunity?location=Windsor,https://canada.businessesforsale.com/canadian/franchises/images/franchise8354/browselogobig.jpg,,businessesforsale.com
156,Career College Franchise Opportunity In Waterloo,"Waterloo, Ontario, Canada",,275000,80000,281000,https://canada.businessesforsale.com/canadian/career-college-franchise-opportunity-in-waterloo.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755294mediumthumbnail.jpg?MfpRCRME/EeHeqdqpHuX7Q==,3.4,businessesforsale.com
157,Established Unique Egyptian Food Restaurant - Franchise GTA,"Toronto, Ontario, Canada","Buyers have the opportunity to own and operate one of the hottest Egyptian Food Restaurants in the GTA, providing their community with an untapped market in the food industry. More details Ā»",750000,372000,1418130,https://canada.businessesforsale.com/canadian/established-unique-egyptian-food-restaurant-franchise-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755262mediumthumbnail.jpg?/igBy+eCXIYdKby3errWnw==,2,businessesforsale.com
158,FranServe Consultancy Franchise in Barrie,"Barrie, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/franserve-franchise?location=Barrie,https://canada.businessesforsale.com/canadian/franchises/images/franchise7966/browselogobig.jpg,,businessesforsale.com
159,Leading Scarborough Painting Business Awaits You,"Scarborough, Ontario, Canada","Are you ready to take the leap into business ownership? Here is a turnkey franchised business resale. It has equipment, trained employees, accounts and ongoing cash flow. This is the perfect chance to... More details Ā»",199000,,,https://canada.businessesforsale.com/canadian/leading-scarborough-painting-business-awaits-you-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755076mediumthumbnail.jpg?665Q1rfNNngBtDSqR9as7w==,,businessesforsale.com
160,Leading Beaverton Painting Business Awaits You,"Beaverton, Ontario, Canada","Are you ready to take the leap into business ownership? Here is a turnkey franchised business resale. It has equipment, trained employees, accounts and ongoing cash flow. This is the perfect chance to... More details Ā»",199000,,,https://canada.businessesforsale.com/canadian/leading-beaverton-painting-business-awaits-you-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755062mediumthumbnail.jpg?665Q1rfNNngBtDSqR9as7w==,,businessesforsale.com
161,"Chefā Door - Restaurant Franchise in Toronto, ON","Toronto,Ontario Ontario",,35000,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/chefs-door-franchise?location=Toronto%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8571/browselogobig.jpg,,businessesforsale.com
162,Leading Barrie Painting Business Awaits You,"Barrie, Ontario, Canada","Are you ready to take the leap into business ownership? Here is a turnkey franchised business resale. It has equipment, trained employees, accounts and ongoing cash flow. This is the perfect chance to... More details Ā»",199000,,,https://canada.businessesforsale.com/canadian/leading-barrie-painting-business-awaits-you-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755061mediumthumbnail.jpg?665Q1rfNNngBtDSqR9as7w==,,businessesforsale.com
163,Leading Aurora Painting Business Awaits You,"Aurora, Ontario, Canada","Are you ready to take the leap into business ownership? Here is a turnkey franchised business resale. It has equipment, trained employees, accounts and ongoing cash flow. This is the perfect chance to... More details Ā»",199000,,,https://canada.businessesforsale.com/canadian/leading-aurora-painting-business-awaits-you-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755060mediumthumbnail.jpg?665Q1rfNNngBtDSqR9as7w==,,businessesforsale.com
164,INS Market - Convenience Store Franchise in Etobicoke General Hospital,"Etobicoke General Hospital, Ontario",,30000,100000,315000,https://canada.businessesforsale.com/canadian/franchises/opportunities/ins-market-convenience-franchise?location=Etobicoke%20General%20Hospital,https://canada.businessesforsale.com/canadian/franchises/images/franchise8394/browselogobig.jpg,0.3,businessesforsale.com
165,Real Estate Property With Unique Business In Ontario,"Niagara Region, Ontario, Canada",,3450000,,,https://canada.businessesforsale.com/canadian/real-estate-property-with-unique-business-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742931mediumthumbnail.jpg?yq5KVEkN3Wv106LJWmH/+Q==,,businessesforsale.com
166,Fresh Burger Franchise in Oakville,"Oakville, Ontario",,,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/fresh-burger-franchise?location=Oakville,https://canada.businessesforsale.com/canadian/franchises/images/franchise8036/browselogobig.jpg,,businessesforsale.com
167,Established Pet Food Franchise In GTA,"Hamilton, Ontario, Canada","Well established, profitable with a well known national brand. Located in a very busy strip with national anchor tenants and well known brand name tenants. More details Ā»",400000,111052,839765,https://canada.businessesforsale.com/canadian/established-pet-food-franchise-in-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742929mediumthumbnail.jpg?jrIiLFRa1tCv2uZEvaUfMA==,3.6,businessesforsale.com
168,Profitable Beauty Salon And Store Franchise In Ontario,"Ontario, Canada",,635000,247000,,https://canada.businessesforsale.com/canadian/profitable-beauty-salon-and-store-franchise-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742822mediumthumbnail.jpg?LnRQpAJgitBwRwpUnzevXQ==,2.6,businessesforsale.com
169,McDonaldā Franchise in Toronto,"Toronto, Ontario",,,700000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/mcdonalds-franchise-canada?location=Toronto,https://canada.businessesforsale.com/canadian/franchises/images/franchise8027/browselogobig.jpg,0,businessesforsale.com
170,Thriving Daycare Business In Mississauga,"Mississauga, Ontario, Canada",,,,,https://canada.businessesforsale.com/canadian/thriving-daycare-business-in-mississauga.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,,businessesforsale.com
171,Established Sugaring Hair Removal Salon In Ontario,"Ontario, Canada",,209000,75000,175000,https://canada.businessesforsale.com/canadian/established-sugaring-hair-removal-salon-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742818mediumthumbnail.jpg?z+QrWzZszpkyEYSNUUmKuA==,2.8,businessesforsale.com
172,Best.Energy - Energy Monitoring Franchise in Oshawa,"Oshawa, Ontario",,60000,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/best-energy-franchise-canada?location=Oshawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise8338/browselogobig.jpg,,businessesforsale.com
173,Daycare In Affluent Neighbourhood In Halton,"Halton, Ontario, Canada",,3100000,,375000,https://canada.businessesforsale.com/canadian/daycare-in-affluent-neighbourhood-in-halton.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,,businessesforsale.com
174,Precision CNC Machine Shop In Greater Toronto Area,"Toronto Ontario, Canada",,375000,159000,333000,https://canada.businessesforsale.com/canadian/precision-cnc-machine-shop-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742512mediumthumbnail.jpg?PBxOxUD/mdrgrlQvjJkt/g==,2.4,businessesforsale.com
175,"Chefā Door - Restaurant Franchise in Waterloo, ON","Waterloo,Ontario",,35000,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/chefs-door-franchise?location=Waterloo%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8571/browselogobig.jpg,,businessesforsale.com
